wavelength,transmission
6150,0.070179
6150.2,0.0723149
6150.4,0.0747684
6150.6,0.0713996
6150.8,0.0782131
6151,0.0758304
6151.2,0.078997
6151.4,0.0762436
6151.6,0.0806648
6151.8,0.0828427
6152,0.0801553
6152.2,0.0830996
6152.4,0.0882834
6152.6,0.0885202
6152.8,0.0869452
6153,0.0877748
6153.2,0.0974292
6153.4,0.0942963
6153.6,0.0968998
6153.8,0.0961026
6154,0.100459
6154.2,0.104028
6154.4,0.102757
6154.6,0.107549
6154.8,0.111349
6155,0.120277
6155.2,0.117723
6155.4,0.127142
6155.6,0.125108
6155.8,0.135901
6156,0.14654
6156.2,0.148481
6156.4,0.151049
6156.6,0.161267
6156.8,0.173912
6157,0.191953
6157.2,0.204322
6157.4,0.22743
6157.6,0.239466
6157.8,0.255259
6158,0.272536
6158.2,0.311694
6158.4,0.341673
6158.6,0.356651
6158.8,0.409127
6159,0.452214
6159.2,0.535866
6159.4,0.614547
6159.6,0.667113
6159.8,0.740491
6160,0.84767
6160.2,0.958023
6160.4,1.05927
6160.6,1.19029
6160.8,1.33457
6161,1.51771
6161.2,1.90178
6161.4,2.28149
6161.6,2.49949
6161.8,2.80167
6162,3.2052
6162.2,3.85124
6162.4,4.35895
6162.6,4.98798
6162.8,5.73421
6163,6.53362
6163.2,8.32412
6163.4,9.85849
6163.6,10.6749
6163.8,12.2367
6164,13.5532
6164.2,16.0578
6164.4,17.5336
6164.6,19.9408
6164.8,21.4035
6165,26.3633
6165.2,28.4878
6165.4,31.9405
6165.6,33.4455
6165.8,36.0767
6166,38.4715
6166.2,42.1947
6166.4,44.356
6166.6,46.8881
6166.8,49.1468
6167,51.364
6167.2,54.9618
6167.4,57.0772
6167.6,58.2497
6167.8,59.3955
6168,60.757
6168.2,62.1459
6168.4,62.7333
6168.6,63.6812
6168.8,64.1301
6169,64.7157
6169.2,65.1849
6169.4,65.6286
6169.6,65.466
6169.8,65.5828
6170,65.465
6170.2,65.4184
6170.4,65.0766
6170.6,64.7526
6170.8,64.0896
6171,63.4954
6171.2,62.1029
6171.4,60.4464
6171.6,59.8266
6171.8,58.1582
6172,57.075
6172.2,54.648
6172.4,53.1968
6172.6,51.1148
6172.8,49.0429
6173,46.5159
6173.2,42.3256
6173.4,38.8035
6173.6,37.2384
6173.8,34.5975
6174,32.0762
6174.2,28.5152
6174.4,26.2661
6174.6,23.6695
6174.8,21.7173
6175,17.3033
6175.2,15.3031
6175.4,13.0296
6175.6,11.8265
6175.8,10.3604
6176,9.23128
6176.2,7.53426
6176.4,6.70699
6176.6,5.79359
6176.8,4.97535
6177,4.35803
6177.2,3.27063
6177.4,2.70147
6177.6,2.42119
6177.8,2.11748
6178,1.83017
6178.2,1.53329
6178.4,1.34299
6178.6,1.19612
6178.8,1.02633
6179,0.915612
6179.2,0.711036
6179.4,0.622389
6179.6,0.575185
6179.8,0.507517
6180,0.450262
6180.2,0.401576
6180.4,0.365934
6180.6,0.322949
6180.8,0.286864
6181,0.272241
6181.2,0.232461
6181.4,0.207537
6181.6,0.189114
6181.8,0.173546
6182,0.161978
6182.2,0.152099
6182.4,0.134795
6182.6,0.123677
6182.8,0.110288
6183,0.108344
6183.2,0.0948288
6183.4,0.0818621
6183.6,0.0804488
6183.8,0.0753219
6184,0.0693417
6184.2,0.0643225
6184.4,0.0620898
6184.6,0.0559437
6184.8,0.0540745
6185,0.0485797
6185.2,0.0486797
6185.4,0.043253
6185.6,0.0439143
6185.8,0.0401164
6186,0.0367754
6186.2,0.0359879
6186.4,0.0343058
6186.6,0.0336281
6186.8,0.0330711
6187,0.0339798
6187.2,0.0271329
6187.4,0.0281424
6187.6,0.0299408
6187.8,0.0264017
6188,0.0278133
6188.2,0.0250958
6188.4,0.0248676
6188.6,0.0223389
6188.8,0.0238825
6189,0.0259792
6189.2,0.022633
6189.4,0.0204282
6189.6,0.0209307
6189.8,0.0207487
6190,0.0209464
