wavelength,transmission
607.3,0.0824
607.35,0.0939
607.4,0.0787
607.45,0.1035
607.5,0.0712
607.55,0.0794
607.6,0.1009
607.65,0.0841
607.7,0.0889
607.75,0.0439
607.8,0.0884
607.85,0.1057
607.9,0.1161
607.95,0.0858
608,0.0717
608.05,0.1085
608.1,0.0939
608.15,0.103
608.2,0.1027
608.25,0.0805
608.3,0.0831
608.35,0.1088
608.4,0.1005
608.45,0.0767
608.5,0.092
608.55,0.0755
608.6,0.0862
608.65,0.1045
608.7,0.1125
608.75,0.1068
608.8,0.0964
608.85,0.1106
608.9,0.1134
608.95,0.0919
609,0.1147
609.05,0.1105
609.1,0.1171
609.15,0.1166
609.2,0.0975
609.25,0.1113
609.3,0.1094
609.35,0.1317
609.4,0.1379
609.45,0.1335
609.5,0.1444
609.55,0.1323
609.6,0.1103
609.65,0.1487
609.7,0.1564
609.75,0.1551
609.8,0.155
609.85,0.1705
609.9,0.1672
609.95,0.1258
610,0.133
610.05,0.1428
610.1,0.162
610.15,0.1656
610.2,0.1843
610.25,0.194
610.3,0.1811
610.35,0.1908
610.4,0.1628
610.45,0.176
610.5,0.2049
610.55,0.1959
610.6,0.2186
610.65,0.2341
610.7,0.2504
610.75,0.2322
610.8,0.2292
610.85,0.2409
610.9,0.2355
610.95,0.249
611,0.2984
611.05,0.284
611.1,0.2854
611.15,0.2927
611.2,0.2823
611.25,0.3015
611.3,0.3269
611.35,0.3337
611.4,0.3787
611.45,0.3949
611.5,0.3853
611.55,0.3833
611.6,0.4298
611.65,0.467
611.7,0.4692
611.75,0.4981
611.8,0.5129
611.85,0.5428
611.9,0.5865
611.95,0.6077
612,0.629
612.05,0.6324
612.1,0.7459
612.15,0.748
612.2,0.815
612.25,0.8657
612.3,0.892
612.35,0.9285
612.4,1.01
612.45,1.0616
612.5,1.1343
612.55,1.2479
612.6,1.2852
612.65,1.3584
612.7,1.489
612.75,1.5699
612.8,1.699
612.85,1.8128
612.9,1.9565
612.95,2.1121
613,2.2822
613.05,2.4738
613.1,2.6485
613.15,2.9025
613.2,3.1073
613.25,3.388
613.3,3.6499
613.35,3.9427
613.4,4.3108
613.45,4.6652
613.5,4.9989
613.55,5.5283
613.6,5.9813
613.65,6.5033
613.7,7.1314
613.75,7.7739
613.8,8.3984
613.85,9.1871
613.9,10.0736
613.95,10.8755
614,11.9132
614.05,13.0402
614.1,13.9753
614.15,15.3119
614.2,16.5884
614.25,17.9287
614.3,19.597
614.35,21.4054
614.4,22.8304
614.45,24.9109
614.5,27.0054
614.55,28.6829
614.6,30.9226
614.65,33.2495
614.7,35.3898
614.75,37.8594
614.8,40.3831
614.85,42.72
614.9,44.9671
614.95,47.5569
615,49.9864
615.05,52.203
615.1,54.7069
615.15,57.078
615.2,58.8828
615.25,60.8594
615.3,62.662
615.35,64.4119
615.4,66.232
615.45,68.2963
615.5,69.4221
615.55,70.8045
615.6,72.2034
615.65,73.4397
615.7,74.4796
615.75,75.5385
615.8,76.0362
615.85,76.812
615.9,77.7408
615.95,78.4357
616,78.7422
616.05,79.3253
616.1,79.8358
616.15,80.3452
616.2,80.8023
616.25,80.7372
616.3,81.0416
616.35,81.5797
